grid_index,band,frequency(THz),tau_N_RTA(ps),tau_U_RTA(ps),tau_RTA_NU(ps),tau_MC(ps)
64,5,42.2286,25.571,9207.75,25.5002,1953.32
64,6,42.6706,26.6246,6797.29,26.5208,1113.3
65,1,0.657254,1488.52,3.8608e+07,1488.46,1843.8
65,2,4.18661,113.414,92744.8,113.275,431.646
65,3,6.55308,46.5619,21106.8,46.4594,171.328
65,4,26.6042,33.9215,764.652,32.4806,933.789
65,5,42.1707,23.9732,5298.95,23.8653,196.437
65,6,42.7823,29.4209,7626.79,29.3079,42.0777
66,1,1.00795,729.026,1.03073e+07,728.974,2150.04
66,2,5.55593,99.5677,14382.9,98.8831,164.646
66,3,8.60704,41.6615,24961.2,41.592,117.876
66,4,26.5113,33.6626,656.06,32.0196,1454.94
66,5,42.1049,24.8607,4082.8,24.7102,1032.3
66,6,43.0002,27.2527,8074.04,27.161,196.059
67,1,1.56611,418.277,2.59413e+06,418.21,461.761
67,2,7.29657,88.4701,11667.7,87.8043,100.688
67,3,11.145,34.8617,21706.7,34.8058,307.963
67,4,26.3551,38.1767,157.326,30.7217,373.625
67,5,42.0055,23.1948,1431.7,22.825,122.155
67,6,43.3303,24.7492,9195.84,24.6827,78.6223
68,1,2.31497,254.874,672094,254.778,286.943
68,2,9.13917,79.2291,17036.6,78.8624,449.086
68,3,13.861,31.2746,9568.83,31.1727,68.1174
68,4,26.1335,43.9147,126.166,32.576,1105.54
68,5,41.8669,21.6095,56.7392,15.6493,303.067
68,6,43.7481,24.9794,18158.2,24.9451,204.16
69,1,3.23527,192.081,144010,191.825,725.431
69,2,10.9654,73.9295,12188.9,73.4838,218.435
69,3,16.6204,26.2714,6005.31,26.157,112.799
69,4,25.8445,50.4086,94.1159,32.8266,310.764
69,5,41.696,28.417,24.9349,13.2812,1859.46
69,6,44.2096,22.9009,26994.8,22.8815,356.879
70,1,4.30288,150.864,6602.14,147.494,217.625
70,2,12.7145,70.2811,4865.75,69.2804,174.335
70,3,19.3558,22.0762,2568.3,21.8881,139.087
70,4,25.4859,60.4787,59.5296,30.0002,188.456
70,5,41.5041,28.7967,39.3447,16.6271,2484.2
70,6,44.6634,22.5029,8459.76,22.4432,116.415
71,1,5.48967,153.27,2294.77,143.674,177.734
71,2,14.3475,68.8332,2591.61,67.0523,299.364
71,3,22.0307,18.3523,355.874,17.4523,67.8366
71,4,25.0561,65.893,43.6186,26.2453,101.433
71,5,41.3029,28.4396,58.0499,19.0881,66.076
71,6,45.0567,18.2836,1284.39,18.027,16.0878
72,1,6.76476,142.718,1075.07,125.992,217.168
72,2,15.8363,68.9992,1613.28,66.1692,214.392
72,3,24.5546,108.855,42.1706,30.3954,245.956
72,4,24.6248,19.6974,97.2035,16.3785,178.447
72,5,41.1041,28.8341,70.0994,20.4304,30283
72,6,45.3387,15.1311,143.868,13.6912,1057.46
73,1,8.0954,160.677,619.668,127.593,150.234
73,2,17.1599,72.6407,1018.79,67.8061,52.5623
73,3,23.9824,186.815,41.9031,34.2261,98.7091
73,4,27.1264,24.7003,28.5781,13.249,96.5267
73,5,40.918,22.8451,99.7924,18.5895,1169.25
73,6,45.4635,12.8893,23.454,8.31807,1996.94
74,1,9.44737,148.876,505.056,114.982,179.327
74,2,18.303,72.816,726.985,66.1867,176.779
74,3,23.3435,233.137,41.0327,34.8917,61.0802
74,4,29.5267,23.6581,17.342,10.0068,63.7774
74,5,40.7533,24.4267,59.0741,17.2811,8192.66
74,6,45.3927,17.5884,3.51848,2.93195,63.2655
